"cidade","ano","mes","quantidade.auxiliar","quantidade.assessor","quantidade.assistente","quantidade.secretario"
"Patos","2009","02",22,28,18,2
"Patos","2009","03",22,29,23,2
"Patos","2009","04",22,29,24,2
"Patos","2009","05",22,29,24,2
"Patos","2009","06",22,29,24,2
"Patos","2009","07",22,29,24,2
"Patos","2009","08",22,29,24,2
"Patos","2009","09",22,25,17,1
"Patos","2009","10",22,25,17,1
"Patos","2009","11",22,25,17,1
"Patos","2009","12",22,25,17,1
"Patos","2010","01",22,2,5,1
"Patos","2010","02",22,2,5,1
"Patos","2010","03",23,2,6,1
"Patos","2010","04",22,2,6,1
"Patos","2010","05",22,2,6,1
"Patos","2010","06",22,2,6,1
"Patos","2010","07",22,2,6,1
"Patos","2010","08",22,2,6,1
"Patos","2010","09",22,2,6,1
"Patos","2010","10",22,2,6,1
"Patos","2010","11",22,2,6,1
"Patos","2010","12",22,2,6,1
"Patos","2011","01",22,5,6,1
"Patos","2011","02",22,4,6,1
"Patos","2011","03",22,4,6,1
"Patos","2011","04",22,4,6,1
"Patos","2011","05",22,4,6,1
"Patos","2011","06",22,4,6,1
"Patos","2011","07",22,4,6,1
"Patos","2011","08",22,4,6,1
"Patos","2011","09",22,2,6,1
"Patos","2011","10",22,3,6,1
"Patos","2011","11",22,3,6,1
"Patos","2011","12",22,3,6,1
"Patos","2012","01",22,2,6,1
"Patos","2012","02",22,2,6,1
"Patos","2012","03",22,5,10,2
"Patos","2012","04",23,6,12,2
"Patos","2012","05",23,6,12,2
"Patos","2012","06",23,6,12,2
"Patos","2012","07",22,6,12,2
"Patos","2012","08",22,6,12,2
"Patos","2012","09",22,6,12,2
"Patos","2012","10",21,6,12,2
"Patos","2012","11",20,6,12,2
"Patos","2012","12",20,5,9,1
"Patos","2013","01",20,2,6,2
"Patos","2013","02",20,2,6,2
"Patos","2013","03",20,1,7,3
"Patos","2013","09",20,1,7,2
"Patos","2013","10",20,1,6,2
"Patos","2013","11",19,1,6,2
"Patos","2013","12",19,1,6,2
"Patos","2014","01",19,1,7,3
"Patos","2014","02",19,1,20,3
"Patos","2014","03",19,1,20,3
"Patos","2014","04",19,1,20,3
"Patos","2014","05",19,1,19,2
"Patos","2014","06",19,2,20,3
"Patos","2014","07",19,2,5,1
"Patos","2014","08",19,2,5,1
"Patos","2014","09",19,4,5,1
"Patos","2014","10",19,4,5,1
"Patos","2014","11",19,5,5,1
"Patos","2014","12",19,5,5,1
"Patos","2015","01",19,5,6,1
"Patos","2015","02",19,5,7,1
"Patos","2015","03",19,5,10,1
"Patos","2015","04",19,5,11,1
"Patos","2015","05",19,5,11,1
"Patos","2015","06",19,6,12,1
"Patos","2015","07",19,5,11,1
"Patos","2015","08",19,5,11,1
"Patos","2015","09",19,5,12,1
"Patos","2015","10",19,5,12,1
"Patos","2015","11",19,5,13,1
"Patos","2015","12",19,5,13,1
"Patos","2016","01",19,4,14,1
"Patos","2016","02",19,10,15,1
"Patos","2016","03",19,11,15,1
"Patos","2016","04",19,10,16,1
"Patos","2016","05",19,10,17,1
"Riacho dos Cavalos","2010","12",1,1,1,1
"Santa Rita","2009","01",3,84,33,37
"Santa Rita","2009","02",3,84,33,37
"Santa Rita","2009","03",3,85,33,36
"Santa Rita","2009","04",2,84,33,37
"Santa Rita","2009","05",2,84,33,37
"Santa Rita","2009","06",3,92,35,41
"Santa Rita","2009","07",2,83,33,37
"Santa Rita","2009","08",2,83,33,37
"Santa Rita","2009","09",4,88,33,41
"Santa Rita","2009","10",4,85,32,43
"Santa Rita","2009","11",4,88,33,43
"Santa Rita","2009","12",5,102,39,60
"Santa Rita","2010","01",4,50,14,50
"Santa Rita","2010","02",4,51,14,50
"Santa Rita","2010","03",4,51,13,51
"Santa Rita","2010","04",4,55,17,56
"Santa Rita","2010","05",4,56,18,56
"Santa Rita","2010","06",4,52,14,53
"Santa Rita","2010","07",4,51,13,53
"Santa Rita","2010","08",4,51,13,53
"Santa Rita","2010","09",4,51,13,53
"Santa Rita","2010","10",4,51,13,53
"Santa Rita","2010","11",4,52,14,55
"Santa Rita","2010","12",4,51,13,54
"Santa Rita","2011","01",2,69,28,56
"Santa Rita","2011","02",2,69,28,56
"Santa Rita","2011","03",2,69,28,56
"Santa Rita","2011","04",2,69,28,56
"Santa Rita","2011","05",2,69,28,56
"Santa Rita","2011","06",2,69,28,56
"Santa Rita","2011","07",2,69,28,56
